agent,prey,pred,agentPreyDist,agentPredDist,preyPredDist,utility
0,6,10,2,6,4,2.6868900023727313
0,6,11,2,5,3,2.7999193200521133
0,6,12,2,4,2,2.811918452494467
0,6,13,2,5,3,2.8156008007453304
0,6,14,2,6,4,2.680880770386571
0,6,15,2,7,5,2.6479338537173414
0,6,16,2,8,6,2.603699034810531
0,6,17,2,9,7,2.597810605313027
0,6,18,2,8,6,2.603855717132549
0,6,19,2,9,7,2.5953501488888304
0,6,20,2,10,8,2.5780469533717274
0,6,21,2,9,7,2.5945683047191426
0,6,22,2,10,8,2.5759237351814135
0,6,23,2,11,9,2.5727795686443504
0,6,24,2,11,9,2.574000779268123
0,6,25,2,11,10,2.566116552893796
0,6,26,2,11,9,2.5725132595542224
0,6,27,2,11,10,2.565757373762253
0,6,28,2,10,11,2.5630591702455714
0,6,29,2,9,11,2.5648907409394877
0,6,30,2,10,12,2.56224627993719
0,6,31,2,10,12,2.5621125362506034
0,6,32,2,10,12,2.5621125362506034
0,6,33,2,9,11,2.5647885562164268
0,6,34,2,8,10,2.5682025583995713
0,6,35,2,7,9,2.5769334333589464
0,6,36,2,7,9,2.577441274360912
0,6,37,2,6,8,2.584347969123649
0,6,38,2,7,9,2.5784578095739583
0,6,39,2,6,8,2.5842899532031205
0,6,40,2,5,7,2.613060377985452
0,6,41,2,4,6,2.624506588814433
0,6,42,2,4,6,2.6276696837506623
0,6,43,2,4,5,2.67952308675626
0,6,44,2,3,5,2.67952308675626
0,6,45,2,2,4,2.6922951759335993
0,6,46,2,3,5,2.6868068735792723
0,6,47,2,3,4,2.6922951759335993
0,6,48,2,2,3,inf
0,6,49,2,1,3,inf
0,7,0,3,0,3,inf
0,7,1,3,1,2,inf
0,7,2,3,2,3,inf
0,7,3,3,2,3,inf
0,7,4,3,1,3,inf
0,7,5,3,2,2,3.075856003910998
0,7,6,3,2,1,3.0749007695683854
0,7,7,3,3,0,3.0710135877952554
0,7,8,3,4,1,3.0470047272001115
0,7,9,3,5,2,3.042627808941143
0,7,10,3,6,3,2.975769506053725
0,7,11,3,5,2,3.0426278089411425
0,7,12,3,4,1,3.0470047272001115
0,7,13,3,5,2,3.046911541270007
0,7,14,3,6,3,2.967897789047221
0,7,15,3,7,4,2.94663228620643
0,7,16,3,8,5,2.887175500503393
0,7,17,3,9,6,2.883871689922001
0,7,18,3,8,5,2.88751490950869
0,7,19,3,9,6,2.8794329517348087
0,7,20,3,10,7,2.8458817694938263
0,7,21,3,9,6,2.8781985578662277
0,7,22,3,10,7,2.8416855637075082
0,7,23,3,11,8,2.8377282846183496
0,7,24,3,11,8,2.840317937562498
0,7,25,3,11,9,2.8231302749848055
0,7,26,3,11,8,2.8372336037167347
0,7,27,3,11,9,2.8224040860400246
0,7,28,3,10,10,2.8120478543018366
0,7,29,3,9,11,2.8109636511362046
0,7,30,3,10,12,2.8093450915918092
0,7,31,3,10,13,2.808968142976134
0,7,32,3,10,13,2.808968142976134
0,7,33,3,9,12,2.810226674095364
0,7,34,3,8,11,2.811539554823961
0,7,35,3,7,10,2.8159074753375783
0,7,36,3,7,10,2.8160981547869404
0,7,37,3,6,9,2.8190121106152404
0,7,38,3,7,10,2.8166280659624303
0,7,39,3,6,9,2.818985187453043
0,7,40,3,5,8,2.831964115755553
0,7,41,3,4,7,2.8385738809642236
0,7,42,3,4,7,2.840293226223676
0,7,43,3,4,6,2.8659300941379073
0,7,44,3,3,6,2.8659300941379073
0,7,45,3,2,5,2.878310576666027
0,7,46,3,3,6,2.8695315376903254
0,7,47,3,3,5,2.878310576666027
0,7,48,3,2,4,inf
0,7,49,3,1,4,inf
0,8,0,4,0,4,inf
0,8,1,4,1,3,inf
0,8,2,4,2,4,inf
0,8,3,4,2,4,inf
0,8,4,4,1,4,inf
0,8,5,4,2,3,3.0759525918290347
0,8,6,4,2,2,3.0756828620900025
0,8,7,4,3,1,3.0750483440443617
0,8,8,4,4,0,3.0639749290882454
0,8,9,4,5,1,3.0633010208076223
0,8,10,4,6,2,3.029637617603739
0,8,11,4,5,2,3.0633010208076223
0,8,12,4,4,2,3.0639749290882454
0,8,13,4,5,1,3.067392687536838
0,8,14,4,6,2,3.0223066042757303
0,8,15,4,7,3,3.0075149017690945
0,8,16,4,8,4,2.951075573823517
0,8,17,4,9,5,2.949191591080045
0,8,18,4,8,4,2.951505229219147
0,8,19,4,9,5,2.944142685563717
0,8,20,4,10,6,2.905220597137112
0,8,21,4,9,5,2.9426576932803625
0,8,22,4,10,6,2.89998339000818
0,8,23,4,11,7,2.8954280064689186
0,8,24,4,11,7,2.898748327432911
0,8,25,4,11,8,2.877012308679503
0,8,26,4,11,7,2.8947668599878575
0,8,27,4,11,8,2.8760820393256945
0,8,28,4,10,9,2.8614949624947936
0,8,29,4,9,10,2.859012289681393
0,8,30,4,10,11,2.857838873990474
0,8,31,4,10,12,2.8573303528244027
0,8,32,4,10,12,2.8573303528244027
0,8,33,4,9,12,2.857922989370463
0,8,34,4,8,11,2.8583729833965825
0,8,35,4,7,11,2.860697528075622
0,8,36,4,7,11,2.8607597747118634
0,8,37,4,6,10,2.8624749289839233
0,8,38,4,7,11,2.8610564924563406
0,8,39,4,6,10,2.862462946374266
0,8,40,4,5,9,2.8690855120213303
0,8,41,4,4,8,2.87402898892265
0,8,42,4,4,8,2.8749275204048144
0,8,43,4,4,7,2.888585938995659
0,8,44,4,3,7,2.888585938995659
0,8,45,4,2,6,2.9010190989134834
0,8,46,4,3,7,2.8904995937348223
0,8,47,4,3,6,2.9010190989134834
0,8,48,4,2,5,inf
0,8,49,4,1,5,inf
0,9,0,5,0,5,inf
0,9,1,5,1,4,inf
0,9,2,5,2,5,inf
0,9,3,5,2,5,inf
0,9,4,5,1,5,inf
0,9,5,5,2,4,3.0759088360636575
0,9,6,5,2,3,3.0758822188949466
0,9,7,5,3,2,3.075715069470544
0,9,8,5,4,1,3.074822825462758
0,9,9,5,5,0,3.0739696564291306
0,9,10,5,6,1,3.0709002176247187
0,9,11,5,5,1,3.0739696564291306
0,9,12,5,4,2,3.074822825462758
0,9,13,5,5,2,3.0738469733622553
0,9,14,5,6,2,3.065989440381019
0,9,15,5,7,3,3.0552010583173126
0,9,16,5,8,4,3.0167988485568213
0,9,17,5,9,5,3.0156213133991128
0,9,18,5,8,4,3.0172866750690566
0,9,19,5,9,5,3.010496170874518
0,9,20,5,10,6,2.970654782869994
0,9,21,5,9,5,3.008760642874038
0,9,22,5,10,6,2.9647070717693556
0,9,23,5,11,7,2.9591492943188697
0,9,24,5,11,7,2.96306149290184
0,9,25,5,11,8,2.9385594724880786
0,9,26,5,11,7,2.958284532618748
0,9,27,5,11,8,2.9374976106411146
0,9,28,5,10,9,2.9201484082518325
0,9,29,5,9,10,2.9171558531893274
0,9,30,5,10,11,2.916116435952741
0,9,31,5,10,12,2.9155744020855128
0,9,32,5,10,12,2.9155744020855128
0,9,33,5,9,12,2.915888534554986
0,9,34,5,8,11,2.916004062987326
0,9,35,5,7,12,2.9174924794151336
0,9,36,5,7,12,2.9175067562745527
0,9,37,5,6,11,2.9189894317201053
0,9,38,5,7,12,2.9177063238211436
0,9,39,5,6,11,2.9189838823353984
0,9,40,5,5,10,2.9236038809380984
0,9,41,5,4,9,2.928221570571967
0,9,42,5,4,9,2.9288563763783535
0,9,43,5,4,8,2.9389297242273495
0,9,44,5,3,8,2.9389297242273495
